weight,height
0.132,0.757
0.722,0.888
0.095,0.804
0.472,0.701
0.179,0.874
0.023,0.664
0.116,0.978
0.054,0.786
0.394,0.970
0.165,0.372
0.654,0.906
0.486,0.871
0.237,0.691
0.584,0.990
0.133,0.396
0.068,0.234
0.114,0.464
0.108,0.241
0.392,0.697
0.049,0.361
0.169,0.877
0.709,0.863
0.046,0.646
0.069,0.525
0.432,0.841
0.366,0.888
0.386,0.570
0.576,0.912
0.312,0.559
0.177,0.398
0.084,0.316
0.462,0.701
0.166,0.459
0.573,0.714
0.173,0.379
0.198,0.955
0.807,0.960
0.081,0.758
0.501,0.901
0.450,0.844
0.126,0.326
0.569,0.785
0.229,0.984
0.140,0.643
0.065,0.777
0.575,0.724
0.423,0.956
0.638,0.911
0.079,0.570
0.057,0.940
0.334,0.576
0.045,0.252
0.384,0.846
0.097,0.537
0.147,0.826
0.604,0.859
0.097,0.649
0.056,0.615
0.150,0.506
0.139,0.764
0.025,0.332
0.626,0.782
0.270,0.946
0.406,0.921
0.649,0.905
0.579,0.841
0.095,0.621
0.254,0.646
0.093,0.570
0.126,0.420
